"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"1";"L. Messi";"Left";"RW";88;95;70;92;88;97;93;94;92;96;91;84;93;95;95;86;68;75;68;94;48;40;94;94;75;96;33;37;26;6;11;15;14;8
"2";"Cristiano Ronaldo";"Right";"LW";84;94;89;83;87;89;81;76;77;92;89;91;87;96;71;95;95;85;78;93;63;29;95;82;85;95;28;32;24;7;11;15;14;11
"3";"Neymar Jr";"Right";"CAM";87;87;62;87;87;96;88;87;81;95;94;89;96;92;84;80;61;81;49;84;51;36;87;90;90;94;27;26;29;9;9;15;15;11
"4";"J. Oblak";"Right";"GK";13;11;15;43;13;12;13;14;40;30;43;60;67;88;49;59;78;41;78;12;34;19;11;65;11;68;27;12;18;87;92;78;90;89
"5";"E. Hazard";"Right";"LW";81;84;61;89;83;95;83;79;83;94;94;88;95;90;94;82;56;84;63;80;54;41;87;89;88;91;34;27;22;11;12;6;8;8
"6";"K. De Bruyne";"Right";"RCM";93;82;55;92;82;86;85;83;91;91;77;76;78;91;76;91;63;89;74;90;76;61;88;94;79;91;68;58;51;15;13;5;10;13
"7";"M. ter Stegen";"Right";"GK";18;14;11;61;14;21;18;12;63;30;38;50;37;86;43;66;79;35;78;10;43;22;11;70;25;70;25;13;10;88;85;88;88;90
"8";"V. van Dijk";"Right";"LCB";53;52;86;78;45;70;60;70;81;76;74;79;61;88;53;81;90;75;92;64;82;89;47;65;62;89;91;92;85;13;10;13;11;11
"9";"L. Modrić";"Right";"RCM";86;72;55;92;76;87;85;78;88;92;77;71;92;89;93;79;68;85;58;82;62;82;79;91;82;92;68;76;71;13;9;7;14;9
"10";"M. Salah";"Left";"RW";79;90;59;84;79;89;83;69;75;89;94;92;91;92;88;80;69;85;73;84;63;55;92;84;77;91;38;43;41;14;14;9;11;14
"11";"K. Mbappé";"Right";"RW";78;89;77;82;79;91;79;63;70;90;96;96;92;89;83;83;76;84;76;79;62;38;89;80;70;84;34;34;32;13;5;7;11;6
"12";"K. Koulibaly";"Right";"LCB";30;22;83;71;14;69;28;28;63;71;69;73;52;86;41;55;81;73;95;15;87;88;35;52;33;82;91;90;87;7;11;7;13;5
"13";"H. Kane";"Right";"ST";75;94;86;81;85;80;78;68;83;84;68;72;71;91;73;90;79;87;84;86;78;35;93;81;90;91;56;36;38;8;10;11;14;11
"14";"Alisson";"Right";"GK";17;13;19;45;20;27;19;18;44;30;56;47;40;88;37;64;52;32;78;14;27;11;13;66;23;65;15;19;16;85;84;85;90;89
"15";"De Gea";"Right";"GK";17;13;21;50;13;18;21;19;47;38;57;58;63;87;43;61;67;43;60;12;38;30;12;65;29;68;25;21;13;90;84;81;85;92
"16";"N. Kanté";"Right";"RCM";68;65;54;86;56;79;49;49;81;80;79;77;82;93;92;71;77;97;73;63;90;92;72;79;54;85;90;91;85;15;12;10;7;10
"17";"G. Chiellini";"Left";"LCB";54;33;83;65;45;59;60;31;65;61;61;73;57;82;57;78;89;59;89;49;91;88;28;50;50;84;94;91;89;3;3;2;4;3
"18";"S. Agüero";"Right";"ST";70;93;78;83;85;88;83;73;64;89;82;78;84;92;91;89;81;79;74;84;65;24;93;83;83;90;30;29;24;13;15;6;11;14
"19";"Sergio Ramos";"Right";"LCB";66;63;92;80;69;65;74;72;83;83;74;71;78;87;66;79;93;80;85;62;90;88;67;71;86;84;85;87;90;11;8;9;7;11
"20";"L. Suárez";"Right";"ST";78;91;83;82;90;85;86;82;72;84;76;70;79;92;79;88;69;82;86;86;87;41;92;82;83;85;57;45;38;27;25;31;33;37
"21";"R. Lewandowski";"Right";"ST";62;88;85;82;88;85;77;85;65;88;77;77;78;90;82;87;84;78;84;84;81;39;91;77;86;86;34;42;19;15;6;12;8;10
"22";"Sergio Busquets";"Right";"CDM";62;67;68;89;44;80;66;68;82;88;40;43;67;87;49;61;66;86;77;54;85;89;77;86;60;93;90;86;80;5;8;13;9;13
"23";"A. Griezmann";"Left";"LW";83;89;84;85;87;88;86;85;82;90;82;81;90;92;83;82;89;87;63;83;73;49;90;86;86;89;59;54;49;14;8;14;13;14
"24";"P. Dybala";"Left";"RW";82;80;64;87;88;90;88;88;75;93;86;81;91;84;85;80;75;79;61;86;48;42;80;87;86;84;32;48;40;5;4;4;5;8
"25";"P. Pogba";"Right";"LDM";80;75;75;86;84;87;85;82;90;90;67;79;75;82;66;90;82;87;89;82;78;64;83;88;83;87;63;67;65;5;6;2;4;3
"26";"Ederson";"Left";"GK";20;14;14;56;18;23;15;20;58;40;64;63;60;87;48;70;66;41;68;18;38;27;20;70;17;70;29;15;8;86;82;93;86;88
"27";"R. Sterling";"Right";"LW";78;83;38;84;67;89;75;63;69;88;96;91;94;89;94;76;57;79;54;77;38;30;91;79;69;79;47;53;47;15;12;12;15;9
"28";"C. Eriksen";"Right";"RM";88;77;52;91;80;81;89;86;89;91;75;71;79;88;80;84;50;93;57;89;46;56;85;92;67;88;59;57;22;9;14;7;7;6
"29";"T. Courtois";"Left";"GK";14;14;13;33;12;13;19;20;35;23;46;52;61;83;45;54;68;38;70;17;23;15;13;44;27;66;20;18;16;85;89;72;85;87
"30";"Piqué";"Right";"RCB";57;65;85;83;57;63;58;43;81;82;48;63;57;85;36;62;75;70;87;51;76;89;64;72;69;87;89;88;87;10;11;14;15;8
"31";"S. Handanovič";"Right";"GK";12;10;10;36;12;12;12;14;34;16;51;55;47;83;36;52;78;41;71;19;25;22;12;41;23;69;25;10;13;88;85;69;89;89
"32";"M. Neuer";"Right";"GK";15;13;25;55;11;30;14;11;59;46;54;60;51;84;35;68;77;43;80;16;29;30;12;70;47;70;17;10;11;87;87;91;85;87
"33";"H. Lloris";"Left";"GK";13;10;10;50;11;10;11;10;50;34;65;62;55;86;54;51;74;41;43;14;31;27;10;30;40;65;29;10;18;89;82;68;84;91
"34";"David Silva";"Left";"LCM";84;72;54;92;82;87;82;77;84;92;69;61;87;89;88;72;64;73;48;73;57;50;88;91;75;92;59;53;29;6;15;7;6;12
"35";"E. Cavani";"Right";"ST";70;88;89;78;90;79;77;76;52;81;74;76;74;91;59;88;88;91;79;79;84;54;93;77;85;80;57;48;39;12;5;13;13;10
"36";"D. Godín";"Right";"RCB";52;42;88;79;47;53;49;49;70;74;61;60;57;81;53;67;90;65;89;43;88;87;48;52;50;82;90;89;87;6;8;15;5;15
"37";"T. Kroos";"Right";"LCM";88;75;58;91;82;80;86;84;92;89;50;41;60;87;71;87;30;74;73;86;60;76;75;89;73;88;72;70;62;10;11;13;7;10
"38";"M. Reus";"Right";"CAM";82;87;49;86;90;87;89;86;77;88;85;85;86;87;84;88;71;76;67;87;51;48;89;86;90;85;49;37;45;12;12;13;13;11
"39";"P. Aubameyang";"Right";"LM";76;89;78;77;86;79;80;74;64;82;93;95;76;87;69;82;79;78;74;79;43;48;90;77;76;85;27;25;36;6;9;15;9;9
